,name,path,label
10582,4892.wav,./raw_data/negative/4892.wav,negative
1246,1220.wav,./raw_data/positive/1220.wav,positive
10127,4482.wav,./raw_data/negative/4482.wav,negative
7203,1850.wav,./raw_data/negative/1850.wav,negative
8074,2634.wav,./raw_data/negative/2634.wav,negative
6787,1476.wav,./raw_data/negative/1476.wav,negative
2614,2452.wav,./raw_data/positive/2452.wav,positive
9688,4087.wav,./raw_data/negative/4087.wav,negative
5445,0188.wav,./raw_data/negative/0188.wav,negative
10981,215.wav,./raw_data/background/215.wav,background
6825,151.wav,./raw_data/negative/151.wav,negative
1538,1484.wav,./raw_data/positive/1484.wav,positive
7407,2033.wav,./raw_data/negative/2033.wav,negative
10266,4607.wav,./raw_data/negative/4607.wav,negative
8633,3137.wav,./raw_data/negative/3137.wav,negative
6808,1495.wav,./raw_data/negative/1495.wav,negative
203,0204.wav,./raw_data/positive/0204.wav,positive
5612,0355.wav,./raw_data/negative/0355.wav,negative
10567,4879.wav,./raw_data/negative/4879.wav,negative
1411,137.wav,./raw_data/positive/137.wav,positive
10360,4692.wav,./raw_data/negative/4692.wav,negative
3528,3275.wav,./raw_data/positive/3275.wav,positive
667,0668.wav,./raw_data/positive/0668.wav,positive
9368,38.wav,./raw_data/negative/38.wav,negative
2812,2630.wav,./raw_data/positive/2630.wav,positive
594,0595.wav,./raw_data/positive/0595.wav,positive
10111,4468.wav,./raw_data/negative/4468.wav,negative
5160,4744.wav,./raw_data/positive/4744.wav,positive
5671,0414.wav,./raw_data/negative/0414.wav,negative
10375,4705.wav,./raw_data/negative/4705.wav,negative
1524,1471.wav,./raw_data/positive/1471.wav,positive
8453,2976.wav,./raw_data/negative/2976.wav,negative
7149,1801.wav,./raw_data/negative/1801.wav,negative
10311,4648.wav,./raw_data/negative/4648.wav,negative
854,0855.wav,./raw_data/positive/0855.wav,positive
10678,4979.wav,./raw_data/negative/4979.wav,negative
5458,0201.wav,./raw_data/negative/0201.wav,negative
4936,4542.wav,./raw_data/positive/4542.wav,positive
5426,0169.wav,./raw_data/negative/0169.wav,negative
7757,2349.wav,./raw_data/negative/2349.wav,negative
2154,2038.wav,./raw_data/positive/2038.wav,positive
9241,3685.wav,./raw_data/negative/3685.wav,negative
2932,2739.wav,./raw_data/positive/2739.wav,positive
7910,2487.wav,./raw_data/negative/2487.wav,negative
6428,1152.wav,./raw_data/negative/1152.wav,negative
1483,1434.wav,./raw_data/positive/1434.wav,positive
6694,1392.wav,./raw_data/negative/1392.wav,negative
7440,2063.wav,./raw_data/negative/2063.wav,negative
7701,2299.wav,./raw_data/negative/2299.wav,negative
10463,4785.wav,./raw_data/negative/4785.wav,negative
8154,2706.wav,./raw_data/negative/2706.wav,negative
10006,4373.wav,./raw_data/negative/4373.wav,negative
791,0792.wav,./raw_data/positive/0792.wav,positive
4815,4433.wav,./raw_data/positive/4433.wav,positive
3170,2953.wav,./raw_data/positive/2953.wav,positive
4914,4522.wav,./raw_data/positive/4522.wav,positive
3632,3369.wav,./raw_data/positive/3369.wav,positive
948,0949.wav,./raw_data/positive/0949.wav,positive
9794,4182.wav,./raw_data/negative/4182.wav,negative
8366,2898.wav,./raw_data/negative/2898.wav,negative
1927,1834.wav,./raw_data/positive/1834.wav,positive
8311,2848.wav,./raw_data/negative/2848.wav,negative
9210,3657.wav,./raw_data/negative/3657.wav,negative
1669,1601.wav,./raw_data/positive/1601.wav,positive
3441,3197.wav,./raw_data/positive/3197.wav,positive
346,0347.wav,./raw_data/positive/0347.wav,positive
5753,0496.wav,./raw_data/negative/0496.wav,negative
2893,2703.wav,./raw_data/positive/2703.wav,positive
1664,1598.wav,./raw_data/positive/1598.wav,positive
2537,2383.wav,./raw_data/positive/2383.wav,positive
10978,212.wav,./raw_data/background/212.wav,background
7927,2501.wav,./raw_data/negative/2501.wav,negative
10205,4552.wav,./raw_data/negative/4552.wav,negative
101,0102.wav,./raw_data/positive/0102.wav,positive
4720,4348.wav,./raw_data/positive/4348.wav,positive
10397,4725.wav,./raw_data/negative/4725.wav,negative
10520,4836.wav,./raw_data/negative/4836.wav,negative
6465,1186.wav,./raw_data/negative/1186.wav,negative
9622,4027.wav,./raw_data/negative/4027.wav,negative
10401,4729.wav,./raw_data/negative/4729.wav,negative
4095,3786.wav,./raw_data/positive/3786.wav,positive
1914,1822.wav,./raw_data/positive/1822.wav,positive
8240,2784.wav,./raw_data/negative/2784.wav,negative
8863,3344.wav,./raw_data/negative/3344.wav,negative
7827,2411.wav,./raw_data/negative/2411.wav,negative
5735,0478.wav,./raw_data/negative/0478.wav,negative
2949,2754.wav,./raw_data/positive/2754.wav,positive
2678,251.wav,./raw_data/positive/251.wav,positive
1286,1257.wav,./raw_data/positive/1257.wav,positive
4241,3917.wav,./raw_data/positive/3917.wav,positive
126,0127.wav,./raw_data/positive/0127.wav,positive
5674,0417.wav,./raw_data/negative/0417.wav,negative
5208,54.wav,./raw_data/positive/54.wav,positive
353,0354.wav,./raw_data/positive/0354.wav,positive
4062,3756.wav,./raw_data/positive/3756.wav,positive
4092,3783.wav,./raw_data/positive/3783.wav,positive
5056,4650.wav,./raw_data/positive/4650.wav,positive
5135,4721.wav,./raw_data/positive/4721.wav,positive
8884,3363.wav,./raw_data/negative/3363.wav,negative
6564,1275.wav,./raw_data/negative/1275.wav,negative
5092,4683.wav,./raw_data/positive/4683.wav,positive
2294,2164.wav,./raw_data/positive/2164.wav,positive
2438,2294.wav,./raw_data/positive/2294.wav,positive
4057,3751.wav,./raw_data/positive/3751.wav,positive
5972,0715.wav,./raw_data/negative/0715.wav,negative
6553,1265.wav,./raw_data/negative/1265.wav,negative
9778,4168.wav,./raw_data/negative/4168.wav,negative
8305,2842.wav,./raw_data/negative/2842.wav,negative
8166,2717.wav,./raw_data/negative/2717.wav,negative
489,0490.wav,./raw_data/positive/0490.wav,positive
1895,1805.wav,./raw_data/positive/1805.wav,positive
8943,3416.wav,./raw_data/negative/3416.wav,negative
843,0844.wav,./raw_data/positive/0844.wav,positive
7316,1952.wav,./raw_data/negative/1952.wav,negative
3519,3267.wav,./raw_data/positive/3267.wav,positive
9757,4149.wav,./raw_data/negative/4149.wav,negative
8076,2636.wav,./raw_data/negative/2636.wav,negative
10453,4776.wav,./raw_data/negative/4776.wav,negative
3710,3439.wav,./raw_data/positive/3439.wav,positive
